id,name,phone,project,income,commitments,dsrRatio,tier,maxLoanAmount
"LEAD-10002","Nurul Aini #2","+60140000003","Shah Alam Vista",3574,1038,33.4,"Tier 3: Joint Loan Needed",165526
"LEAD-10005","Santhi Razif #5","+60170000006","Bangsar South Suites",3685,1095,34.2,"Tier 3: Joint Loan Needed",165714
"LEAD-10008","Sarah Lee #8","+60120000009","Shah Alam Vista",3796,1152,34.9,"Tier 3: Joint Loan Needed",165902
"LEAD-10011","Siti Zulkifli #11","+60150000012","Bangsar South Suites",3907,1209,35.6,"Tier 3: Joint Loan Needed",166091
"LEAD-10014","Syed Rosli #14","+60180000015","Shah Alam Vista",4018,1266,36.2,"Tier 3: Joint Loan Needed",166279
"LEAD-10017","Azman Kumar #17","+60130000018","Bangsar South Suites",4129,1323,36.8,"Tier 3: Joint Loan Needed",166468
"LEAD-10020","Muhammad Faizal #20","+60160000021","Shah Alam Vista",4240,1380,37.4,"Tier 3: Joint Loan Needed",166656
"LEAD-10023","Wong Hassan #23","+60190000024","Bangsar South Suites",4351,1437,38,"Tier 3: Joint Loan Needed",166844
"LEAD-10026","Mohd Subramaniam #26","+60140000027","Shah Alam Vista",4462,1494,38.5,"Tier 3: Joint Loan Needed",167033
"LEAD-10029","Kevin Goh #29","+60170000030","Bangsar South Suites",4573,1551,39,"Tier 2: Qualified Bank Loan",167221
"LEAD-10032","Razif Hariz #32","+60120000033","Shah Alam Vista",4684,1608,39.5,"Tier 2: Qualified Bank Loan",167410
"LEAD-10035","Chong Wei Lun #35","+60150000036","Bangsar South Suites",4795,1665,39.9,"Tier 2: Qualified Bank Loan",167598
"LEAD-10038","Hafiz Ibrahim #38","+60180000039","Shah Alam Vista",4906,1722,40.3,"Tier 2: Qualified Bank Loan",167786
"LEAD-10041","Ahmad Chen #41","+60130000042","Bangsar South Suites",5017,1779,40.8,"Tier 2: Qualified Bank Loan",167975
"LEAD-10044","Tan Nordin #44","+60160000045","Shah Alam Vista",5128,1836,41.2,"Tier 2: Qualified Bank Loan",168163
"LEAD-10047","Farhan Osman #47","+60190000048","Bangsar South Suites",5239,1893,41.5,"Tier 2: Qualified Bank Loan",168352
"LEAD-10050","Jason Aini #50","+60140000051","Shah Alam Vista",5350,1950,41.9,"Tier 2: Qualified Bank Loan",168540
"LEAD-10053","Amir Razif #53","+60170000054","Bangsar South Suites",5461,2007,42.2,"Tier 2: Qualified Bank Loan",168728
"LEAD-10056","Devi Lee #56","+60120000057","Shah Alam Vista",5572,2064,42.6,"Tier 2: Qualified Bank Loan",168917
"LEAD-10059","Grace Zulkifli #59","+60150000060","Bangsar South Suites",5683,2121,42.9,"Tier 2: Qualified Bank Loan",169105
"LEAD-10062","Nurul Rosli #62","+60180000063","Shah Alam Vista",5794,2178,43.2,"Tier 2: Qualified Bank Loan",169294
"LEAD-10065","Santhi Kumar #65","+60130000066","Bangsar South Suites",5905,2235,43.5,"Tier 2: Qualified Bank Loan",169482
"LEAD-10068","Sarah Faizal #68","+60160000069","Shah Alam Vista",6016,2292,43.8,"Tier 2: Qualified Bank Loan",169670
"LEAD-10071","Siti Hassan #71","+60190000072","Bangsar South Suites",6127,2349,44.1,"Tier 2: Qualified Bank Loan",169859
"LEAD-10074","Syed Subramaniam #74","+60140000075","Shah Alam Vista",6238,2406,44.3,"Tier 2: Qualified Bank Loan",170047
"LEAD-10077","Azman Goh #77","+60170000078","Bangsar South Suites",6349,2463,44.6,"Tier 2: Qualified Bank Loan",170236
"LEAD-10080","Muhammad Hariz #80","+60120000081","Shah Alam Vista",6460,2520,44.8,"Tier 2: Qualified Bank Loan",170424
"LEAD-10083","Wong Wei Lun #83","+60150000084","Bangsar South Suites",6571,2577,45.1,"Tier 2: Qualified Bank Loan",170612
"LEAD-10086","Mohd Ibrahim #86","+60180000087","Shah Alam Vista",6682,2634,45.3,"Tier 2: Qualified Bank Loan",170801
"LEAD-10089","Kevin Chen #89","+60130000090","Bangsar South Suites",6793,2691,45.5,"Tier 2: Qualified Bank Loan",170989
"LEAD-10092","Razif Nordin #92","+60160000093","Shah Alam Vista",6904,2748,45.8,"Tier 2: Qualified Bank Loan",171178
"LEAD-10095","Chong Osman #95","+60190000096","Bangsar South Suites",7015,2805,46,"Tier 2: Qualified Bank Loan",171366
"LEAD-10098","Hafiz Aini #98","+60140000099","Shah Alam Vista",7126,2862,46.2,"Tier 2: Qualified Bank Loan",171554
"LEAD-10101","Ahmad Razif #101","+60170000102","Bangsar South Suites",7237,2919,46.4,"Tier 2: Qualified Bank Loan",171743
"LEAD-10104","Tan Lee #104","+60120000105","Shah Alam Vista",7348,2976,46.6,"Tier 2: Qualified Bank Loan",171931
"LEAD-10107","Farhan Zulkifli #107","+60150000108","Bangsar South Suites",7459,3033,46.7,"Tier 2: Qualified Bank Loan",172120
"LEAD-10110","Jason Rosli #110","+60180000111","Shah Alam Vista",7570,3090,46.9,"Tier 2: Qualified Bank Loan",172308
"LEAD-10113","Amir Kumar #113","+60130000114","Bangsar South Suites",7681,3147,47.1,"Tier 2: Qualified Bank Loan",172496
"LEAD-10116","Devi Faizal #116","+60160000117","Shah Alam Vista",7792,3204,47.3,"Tier 2: Qualified Bank Loan",172685
"LEAD-10119","Grace Hassan #119","+60190000120","Bangsar South Suites",7903,3261,47.4,"Tier 2: Qualified Bank Loan",172873
"LEAD-10122","Nurul Subramaniam #122","+60140000123","Shah Alam Vista",8014,3318,47.6,"Tier 2: Qualified Bank Loan",173062
"LEAD-10125","Santhi Goh #125","+60170000126","Bangsar South Suites",8125,3375,47.7,"Tier 2: Qualified Bank Loan",173250
"LEAD-10128","Sarah Hariz #128","+60120000129","Shah Alam Vista",8236,3432,47.9,"Tier 2: Qualified Bank Loan",173438
"LEAD-10131","Siti Wei Lun #131","+60150000132","Bangsar South Suites",8347,3489,48,"Tier 2: Qualified Bank Loan",173627
"LEAD-10134","Syed Ibrahim #134","+60180000135","Shah Alam Vista",8458,3546,48.2,"Tier 2: Qualified Bank Loan",173815
"LEAD-10137","Azman Chen #137","+60130000138","Bangsar South Suites",8569,3603,48.3,"Tier 2: Qualified Bank Loan",174004
"LEAD-10140","Muhammad Nordin #140","+60160000141","Shah Alam Vista",8680,3660,48.5,"Tier 2: Qualified Bank Loan",174192
"LEAD-10143","Wong Osman #143","+60190000144","Bangsar South Suites",8791,3717,48.6,"Tier 2: Qualified Bank Loan",174380
"LEAD-10146","Mohd Aini #146","+60140000147","Shah Alam Vista",8902,3774,48.7,"Tier 2: Qualified Bank Loan",174569
"LEAD-10149","Kevin Razif #149","+60170000150","Bangsar South Suites",9013,3831,48.9,"Tier 2: Qualified Bank Loan",174757
"LEAD-10152","Razif Lee #152","+60120000153","Shah Alam Vista",9124,3888,49,"Tier 2: Qualified Bank Loan",174946
"LEAD-10155","Chong Zulkifli #155","+60150000156","Bangsar South Suites",9235,3945,49.1,"Tier 2: Qualified Bank Loan",175134
"LEAD-10158","Hafiz Rosli #158","+60180000159","Shah Alam Vista",9346,4002,49.2,"Tier 2: Qualified Bank Loan",175322
"LEAD-10161","Ahmad Kumar #161","+60130000162","Bangsar South Suites",9457,4059,49.3,"Tier 2: Qualified Bank Loan",175511
"LEAD-10164","Tan Faizal #164","+60160000165","Shah Alam Vista",9568,4116,49.4,"Tier 2: Qualified Bank Loan",175699
"LEAD-10167","Farhan Hassan #167","+60190000168","Bangsar South Suites",9679,4173,49.6,"Tier 2: Qualified Bank Loan",175888
"LEAD-10170","Jason Subramaniam #170","+60140000171","Shah Alam Vista",9790,4230,49.7,"Tier 2: Qualified Bank Loan",176076
"LEAD-10173","Amir Goh #173","+60170000174","Bangsar South Suites",9901,4287,49.8,"Tier 2: Qualified Bank Loan",176264
"LEAD-10176","Devi Hariz #176","+60120000177","Shah Alam Vista",10012,4344,49.9,"Tier 2: Qualified Bank Loan",176453
"LEAD-10179","Grace Wei Lun #179","+60150000180","Bangsar South Suites",10123,4401,50,"Tier 2: Qualified Bank Loan",176641
"LEAD-10182","Nurul Ibrahim #182","+60180000183","Shah Alam Vista",10234,4458,50.1,"Tier 2: Qualified Bank Loan",176830
"LEAD-10185","Santhi Chen #185","+60130000186","Bangsar South Suites",10345,1015,11.3,"Tier 1: Pre-Approved LPPSA/Bank",877018
"LEAD-10188","Sarah Nordin #188","+60160000189","Shah Alam Vista",10456,1072,11.8,"Tier 1: Pre-Approved LPPSA/Bank",877206
"LEAD-10191","Siti Osman #191","+60190000192","Bangsar South Suites",10567,1129,12.3,"Tier 1: Pre-Approved LPPSA/Bank",877395
"LEAD-10194","Syed Aini #194","+60140000195","Shah Alam Vista",10678,1186,12.8,"Tier 1: Pre-Approved LPPSA/Bank",877583
"LEAD-10197","Azman Razif #197","+60170000198","Bangsar South Suites",10789,1243,13.2,"Tier 1: Pre-Approved LPPSA/Bank",877772
"LEAD-10200","Muhammad Lee #200","+60120000201","Shah Alam Vista",10900,1300,13.7,"Tier 1: Pre-Approved LPPSA/Bank",877960
"LEAD-10203","Wong Zulkifli #203","+60150000204","Bangsar South Suites",11011,1357,14.2,"Tier 1: Pre-Approved LPPSA/Bank",878148
"LEAD-10206","Mohd Rosli #206","+60180000207","Shah Alam Vista",11122,1414,14.6,"Tier 1: Pre-Approved LPPSA/Bank",878337
"LEAD-10209","Kevin Kumar #209","+60130000210","Bangsar South Suites",11233,1471,15.1,"Tier 1: Pre-Approved LPPSA/Bank",878525
"LEAD-10212","Razif Faizal #212","+60160000213","Shah Alam Vista",11344,1528,15.5,"Tier 1: Pre-Approved LPPSA/Bank",878714
"LEAD-10215","Chong Hassan #215","+60190000216","Bangsar South Suites",11455,1585,15.9,"Tier 1: Pre-Approved LPPSA/Bank",878902
"LEAD-10218","Hafiz Subramaniam #218","+60140000219","Shah Alam Vista",11566,1642,16.3,"Tier 1: Pre-Approved LPPSA/Bank",879090
"LEAD-10221","Ahmad Goh #221","+60170000222","Bangsar South Suites",11677,1699,16.7,"Tier 1: Pre-Approved LPPSA/Bank",879279
"LEAD-10224","Tan Hariz #224","+60120000225","Shah Alam Vista",11788,1756,17.1,"Tier 1: Pre-Approved LPPSA/Bank",879467
"LEAD-10227","Farhan Wei Lun #227","+60150000228","Bangsar South Suites",11899,1813,17.5,"Tier 1: Pre-Approved LPPSA/Bank",879656
"LEAD-10230","Jason Ibrahim #230","+60180000231","Shah Alam Vista",3510,1870,61.2,"Tier 3: Joint Loan Needed",0
"LEAD-10233","Amir Chen #233","+60130000234","Bangsar South Suites",3621,1927,61.2,"Tier 3: Joint Loan Needed",0
"LEAD-10236","Devi Nordin #236","+60160000237","Shah Alam Vista",3732,1984,61.1,"Tier 3: Joint Loan Needed",0
"LEAD-10239","Grace Osman #239","+60190000240","Bangsar South Suites",3843,2041,61,"Tier 3: Joint Loan Needed",0
"LEAD-10242","Nurul Aini #242","+60140000243","Shah Alam Vista",3954,2098,61,"Tier 3: Joint Loan Needed",0
"LEAD-10245","Santhi Razif #245","+60170000246","Bangsar South Suites",4065,2155,60.9,"Tier 3: Joint Loan Needed",0
"LEAD-10248","Sarah Lee #248","+60120000249","Shah Alam Vista",4176,2212,60.9,"Tier 3: Joint Loan Needed",0
"LEAD-10251","Siti Zulkifli #251","+60150000252","Bangsar South Suites",4287,2269,60.8,"Tier 3: Joint Loan Needed",0
"LEAD-10254","Syed Rosli #254","+60180000255","Shah Alam Vista",4398,2326,60.8,"Tier 3: Joint Loan Needed",0
"LEAD-10257","Azman Kumar #257","+60130000258","Bangsar South Suites",4509,2383,60.7,"Tier 3: Joint Loan Needed",0
"LEAD-10260","Muhammad Faizal #260","+60160000261","Shah Alam Vista",4620,2440,60.7,"Tier 3: Joint Loan Needed",0
"LEAD-10263","Wong Hassan #263","+60190000264","Bangsar South Suites",4731,2497,60.7,"Tier 3: Joint Loan Needed",0
"LEAD-10266","Mohd Subramaniam #266","+60140000267","Shah Alam Vista",4842,2554,60.6,"Tier 3: Joint Loan Needed",0
"LEAD-10269","Kevin Goh #269","+60170000270","Bangsar South Suites",4953,2611,60.6,"Tier 3: Joint Loan Needed",0
"LEAD-10272","Razif Hariz #272","+60120000273","Shah Alam Vista",5064,2668,60.6,"Tier 3: Joint Loan Needed",0
"LEAD-10275","Chong Wei Lun #275","+60150000276","Bangsar South Suites",5175,2725,60.5,"Tier 3: Joint Loan Needed",0
"LEAD-10278","Hafiz Ibrahim #278","+60180000279","Shah Alam Vista",5286,2782,60.5,"Tier 3: Joint Loan Needed",0
"LEAD-10281","Ahmad Chen #281","+60130000282","Bangsar South Suites",5397,2839,60.5,"Tier 3: Joint Loan Needed",0
"LEAD-10284","Tan Nordin #284","+60160000285","Shah Alam Vista",5508,2896,60.4,"Tier 3: Joint Loan Needed",0
"LEAD-10287","Farhan Osman #287","+60190000288","Bangsar South Suites",5619,2953,60.4,"Tier 3: Joint Loan Needed",0
"LEAD-10290","Jason Aini #290","+60140000291","Shah Alam Vista",5730,3010,60.4,"Tier 3: Joint Loan Needed",0
"LEAD-10293","Amir Razif #293","+60170000294","Bangsar South Suites",5841,3067,60.4,"Tier 3: Joint Loan Needed",0
"LEAD-10296","Devi Lee #296","+60120000297","Shah Alam Vista",5952,3124,60.3,"Tier 3: Joint Loan Needed",0
"LEAD-10299","Grace Zulkifli #299","+60150000300","Bangsar South Suites",6063,3181,60.3,"Tier 3: Joint Loan Needed",0
"LEAD-10302","Nurul Rosli #302","+60180000303","Shah Alam Vista",6174,3238,60.3,"Tier 3: Joint Loan Needed",0
"LEAD-10305","Santhi Kumar #305","+60130000306","Bangsar South Suites",6285,3295,60.3,"Tier 3: Joint Loan Needed",0
"LEAD-10308","Sarah Faizal #308","+60160000309","Shah Alam Vista",6396,3352,60.2,"Tier 3: Joint Loan Needed",0
"LEAD-10311","Siti Hassan #311","+60190000312","Bangsar South Suites",6507,3409,60.2,"Tier 3: Joint Loan Needed",0
"LEAD-10314","Syed Subramaniam #314","+60140000315","Shah Alam Vista",6618,3466,60.2,"Tier 3: Joint Loan Needed",0
"LEAD-10317","Azman Goh #317","+60170000318","Bangsar South Suites",6729,3523,60.2,"Tier 3: Joint Loan Needed",0
"LEAD-10320","Muhammad Hariz #320","+60120000321","Shah Alam Vista",6840,3580,60.2,"Tier 3: Joint Loan Needed",0
"LEAD-10323","Wong Wei Lun #323","+60150000324","Bangsar South Suites",6951,3637,60.1,"Tier 3: Joint Loan Needed",0
"LEAD-10326","Mohd Ibrahim #326","+60180000327","Shah Alam Vista",7062,3694,60.1,"Tier 3: Joint Loan Needed",0
"LEAD-10329","Kevin Chen #329","+60130000330","Bangsar South Suites",7173,3751,60.1,"Tier 3: Joint Loan Needed",0
"LEAD-10332","Razif Nordin #332","+60160000333","Shah Alam Vista",7284,3808,60.1,"Tier 3: Joint Loan Needed",0
"LEAD-10335","Chong Osman #335","+60190000336","Bangsar South Suites",7395,3865,60.1,"Tier 3: Joint Loan Needed",0
"LEAD-10338","Hafiz Aini #338","+60140000339","Shah Alam Vista",7506,3922,60.1,"Tier 3: Joint Loan Needed",0
"LEAD-10341","Ahmad Razif #341","+60170000342","Bangsar South Suites",7617,3979,60,"Tier 3: Joint Loan Needed",0
"LEAD-10344","Tan Lee #344","+60120000345","Shah Alam Vista",7728,4036,60,"Tier 3: Joint Loan Needed",0
"LEAD-10347","Farhan Zulkifli #347","+60150000348","Bangsar South Suites",7839,4093,60,"Tier 3: Joint Loan Needed",0
"LEAD-10350","Jason Rosli #350","+60180000351","Shah Alam Vista",7950,4150,60,"Tier 3: Joint Loan Needed",0
"LEAD-10353","Amir Kumar #353","+60130000354","Bangsar South Suites",8061,4207,60,"Tier 2: Qualified Bank Loan",168
"LEAD-10356","Devi Faizal #356","+60160000357","Shah Alam Vista",8172,4264,60,"Tier 2: Qualified Bank Loan",357
"LEAD-10359","Grace Hassan #359","+60190000360","Bangsar South Suites",8283,4321,60,"Tier 2: Qualified Bank Loan",545
"LEAD-10362","Nurul Subramaniam #362","+60140000363","Shah Alam Vista",8394,4378,59.9,"Tier 2: Qualified Bank Loan",734
"LEAD-10365","Santhi Goh #365","+60170000366","Bangsar South Suites",8505,4435,59.9,"Tier 2: Qualified Bank Loan",922
"LEAD-10368","Sarah Hariz #368","+60120000369","Shah Alam Vista",8616,4492,59.9,"Tier 2: Qualified Bank Loan",1110
"LEAD-10371","Siti Wei Lun #371","+60150000372","Bangsar South Suites",8727,1049,13.8,"Tier 1: Pre-Approved LPPSA/Bank",701299
"LEAD-10374","Syed Ibrahim #374","+60180000375","Shah Alam Vista",8838,1106,14.4,"Tier 1: Pre-Approved LPPSA/Bank",701487
"LEAD-10377","Azman Chen #377","+60130000378","Bangsar South Suites",8949,1163,14.9,"Tier 1: Pre-Approved LPPSA/Bank",701676
"LEAD-10380","Muhammad Nordin #380","+60160000381","Shah Alam Vista",9060,1220,15.5,"Tier 1: Pre-Approved LPPSA/Bank",701864
"LEAD-10383","Wong Osman #383","+60190000384","Bangsar South Suites",9171,1277,16,"Tier 1: Pre-Approved LPPSA/Bank",702052
"LEAD-10386","Mohd Aini #386","+60140000387","Shah Alam Vista",9282,1334,16.5,"Tier 1: Pre-Approved LPPSA/Bank",702241
"LEAD-10389","Kevin Razif #389","+60170000390","Bangsar South Suites",9393,1391,17,"Tier 1: Pre-Approved LPPSA/Bank",702429
"LEAD-10392","Razif Lee #392","+60120000393","Shah Alam Vista",9504,1448,17.5,"Tier 1: Pre-Approved LPPSA/Bank",702618
"LEAD-10395","Chong Zulkifli #395","+60150000396","Bangsar South Suites",9615,1505,18,"Tier 1: Pre-Approved LPPSA/Bank",702806
