id,name,phone,project,income,commitments,dsrRatio,tier,maxLoanAmount
"LEAD-10003","Wong Wei Lun #3","+60150000004","Damansara Heights Residence",3611,1057,33.6,"Tier 3: Joint Loan Needed",165588
"LEAD-10006","Mohd Ibrahim #6","+60180000007","SkyResidence Subang",3722,1114,34.4,"Tier 3: Joint Loan Needed",165777
"LEAD-10009","Kevin Chen #9","+60130000010","Damansara Heights Residence",3833,1171,35.1,"Tier 3: Joint Loan Needed",165965
"LEAD-10012","Razif Nordin #12","+60160000013","SkyResidence Subang",3944,1228,35.8,"Tier 3: Joint Loan Needed",166154
"LEAD-10015","Chong Osman #15","+60190000016","Damansara Heights Residence",4055,1285,36.4,"Tier 3: Joint Loan Needed",166342
"LEAD-10018","Hafiz Aini #18","+60140000019","SkyResidence Subang",4166,1342,37,"Tier 3: Joint Loan Needed",166530
"LEAD-10021","Ahmad Razif #21","+60170000022","Damansara Heights Residence",4277,1399,37.6,"Tier 3: Joint Loan Needed",166719
"LEAD-10024","Tan Lee #24","+60120000025","SkyResidence Subang",4388,1456,38.1,"Tier 3: Joint Loan Needed",166907
"LEAD-10027","Farhan Zulkifli #27","+60150000028","Damansara Heights Residence",4499,1513,38.7,"Tier 3: Joint Loan Needed",167096
"LEAD-10030","Jason Rosli #30","+60180000031","SkyResidence Subang",4610,1570,39.1,"Tier 2: Qualified Bank Loan",167284
"LEAD-10033","Amir Kumar #33","+60130000034","Damansara Heights Residence",4721,1627,39.6,"Tier 2: Qualified Bank Loan",167472
"LEAD-10036","Devi Faizal #36","+60160000037","SkyResidence Subang",4832,1684,40.1,"Tier 2: Qualified Bank Loan",167661
"LEAD-10039","Grace Hassan #39","+60190000040","Damansara Heights Residence",4943,1741,40.5,"Tier 2: Qualified Bank Loan",167849
"LEAD-10042","Nurul Subramaniam #42","+60140000043","SkyResidence Subang",5054,1798,40.9,"Tier 2: Qualified Bank Loan",168038
"LEAD-10045","Santhi Goh #45","+60170000046","Damansara Heights Residence",5165,1855,41.3,"Tier 2: Qualified Bank Loan",168226
"LEAD-10048","Sarah Hariz #48","+60120000049","SkyResidence Subang",5276,1912,41.7,"Tier 2: Qualified Bank Loan",168414
"LEAD-10051","Siti Wei Lun #51","+60150000052","Damansara Heights Residence",5387,1969,42,"Tier 2: Qualified Bank Loan",168603
"LEAD-10054","Syed Ibrahim #54","+60180000055","SkyResidence Subang",5498,2026,42.4,"Tier 2: Qualified Bank Loan",168791
"LEAD-10057","Azman Chen #57","+60130000058","Damansara Heights Residence",5609,2083,42.7,"Tier 2: Qualified Bank Loan",168980
